table,column,EMI_onto,property_type,property_name_in_wd,wd_property_id,existing_in_EMI_onto,comment
trydbAll,LastName,Person,,,,,
trydbAll,FirstName,Person,,,,,
trydbAll,DatasetID,,,,,,try specific
trydbAll,Dataset ,,,,,,try specific
trydbAll,SpeciesName,Organism,,,,,
trydbAll,AccSpeciesID,,,,,,try specific
trydbAll,AccSpeciesName,,,,,,try specific
trydbAll,ObservationID,,,,,,try specific
trydbAll,ObsDataID,,,,,,try specific
trydbAll,TraitID,,,,,,try specific
trydbAll,TraitName,,,,,,try specific
trydbAll,DataID,,,,,,try specific
trydbAll,DataName,,,,,,try specific
trydbAll,OriglName,,,,,,try specific
trydbAll,OrigValueStr,,,,,,try specific
trydbAll,OrigUnitStr,,,,,,try specific
trydbAll,ValueKindName,,,,,,try specific
trydbAll,OrigUncertainityStr,,,,,,try specific
trydbAll,UncertainityName,,,,,,try specific
trydbAll,Replicates,,,,,,try specific
trydbAll,StdValue,,,,,,try specific
trydbAll,UnitName,,,,,,try specific
trydbAll,RelUncertainityPercent,,,,,,try specific
trydbAll,OrigObsDataID,,,,,,try specific
trydbAll,ErrorRisk,,,,,,try specific
trydbAll,Reference,,,,,,
trydbAll,Comment,comment,annotation property,,,,
trydbAll,StdValueStr,,,,,,try specific
trydbAll,DataType,,,,,,try specific
taxonomy,TRY_SpeciesID,,,,,,try specific
taxonomy,TRY_SpeciesName,Organism,,,,,
taxonomy,AccSpeciesID,,,,,,try specific
taxonomy,TRY_AccSpeciesName,,,,,,try specific
taxonomy,TRY_AccSpeciesNameScientific,scientific name,data property,,,,
taxonomy,BackboneDatabase,,,,,,temporary
taxonomy,Genus,Organism,,,,,
taxonomy,Family,Organism,,,,,
taxonomy,NameUsedForFuzzyMatching,,,,,,temporary
taxonomy,MatchedName,,,,,,temporary
taxonomy,RecommendedScientificName,scientific name,data property,,,,temporary
taxonomy,Reference,,,,,,temporary
taxonomy,DiffGen,,,,,,temporary
taxonomy,DiffSpec,,,,,,temporary
taxonomy,SelectReason,,,,,,temporary
taxonomy,AlternativeName,,,,,,temporary
taxonomy,wikidata_id,Wikidata taxon,,,,,
taxonomy,rank_id,,,,P105,,temporary
taxonomy,parent_id,,,,P171,,temporary
taxonomy,external_id,,,,,,temporary
taxonomy,ncbi_id,Organism,,,,,
taxonomy,gbif_id,Organism,,,,,
interactions,sourceTaxonId,Organism,,,,,
interactions,sourceTaxonName,Organism,,,,,
interactions,sourceTaxonRank,,,,P105,,
interactions,sourceTaxonPathNames,,,,,,
interactions,sourceTaxonPathIds,,,,,,
interactions,sourceTaxonPathRankNames,,,,,,
interactions,sourceTaxonSpeciesName,Organism,,,,,
interactions,sourceTaxonSpeciesId,Organism,,,,,
interactions,sourceTaxonSubgenusName,Organism,,,,,
interactions,sourceTaxonSubgenusId,Organism,,,,,
