raw_material,submitted_taxon,wd_taxon_id,organ,broad_organ,tissue,subsystem
KPP072,Datura metel,Q715019,,,,
KPP065,Melia azedarach,Q162171,,,,
KPP010,Artemisia capillaris,Q5763748,,,,
KPP022,Arctium lappa,Q26932,,,,
KPP004,Pyrola japonica,Q11086771,,,,
KPP008,Hemerocallis minor,Q5221108,,,,
KPP020,Eupatorium fortunei,Q15588162,,,,
KPP026,Campsis grandiflora,Q1192466,,,,
KPP045,Silene firma,Q10928657,,,,
KPP012,Saururus chinensis,Q10545549,,,,
KPP038,Hylotelephium erythrostictum,Q7445423,,,,
KPP046,Geranium thunbergii,Q5236828,,,,
KPP063,Fallopia multiflora,Q1802551,,,,
KPP015,Aconitum ciliare,,,,,
KPP006,Phytolacca acinosa,Q1569312,,,,
KPP011,Hibiscus syriacus,Q157756,,,,
KPP014,Peucedanum japonicum,Q11086266,,,,
KPP016,Euphorbia pekinensis,Q1153181,,,,
KPP021,Picrasma quassioides,Q855778,,,,
KPP005,Cremastra appendiculata,Q5978345,,,,
KPP031,Ginkgo biloba,Q43284,,,,
KPP064,Platycodon grandiflorus,Q805322,,,,
KPP067,Digitalis purpurea,Q157555,,,,
KPP007,Bistorta manshuriensis,Q16842495,,,,
KPP009,lantago asiatica,Q1193995,,,,
KPP027,Lycopodium clavatum,Q466426,,,,
KPP088,Pulsatilla cernua,Q287809,,,,
KPP002,Equisetum hyemale,Q263881,,,,
KPP001,Aralia continentalis,Q4068484,,,,
KPP018,Chrysanthemum zawadskii var. latilobum,,,,,
KPP025,Nuphar japonica,Q149773,,,,
KPP028,Rosa rugosa,Q634975,,,,
KPP051,Bletilla striata,Q159003,,,,
KPP003,Valeriana fauriei,Q11272377,,,,
KPP037,Juncus decipiens,Q15505616,,,,
KPP053,Chrysanthemum x morifolium,,,,,
KPP013,Sigesbeckia pubescens,Q5762824,,,,
KPP017,Artemisia gmelinii,Q1532907,,,,
KPP033,Solanum americanum,Q2729601,,,,
KPP023,Fritillaria thunbergii,Q11148917,,,,
KPP043,Castanea crenata,Q717827,,,,
KPP079,Polygala tenuifolia,Q1043050,,,,
KPP084,Trachelospermum asiaticum,Q11238988,,,,
KPP093,Triticum aestivum,Q161098,,,,
KPP019,Lophatherum gracile,Q5702352,,,,
KPP042,Boehmeria nivea,Q750467,,,,
KPP095,Crataegus pinnatifida,Q1141735,,,,
KPP099,Rehmannia glutinosa,Q1071605,,,,
KPP024,Platycladus orientalis,Q33482,,,,
KPP034,Zostera marina,Q21128,,,,
KPP048,Orobanche coerulescens,Q160895,,,,
KPP068,Lobelia chinensis,Q3268084,,,,
KPP070,Nelumbo nucifera,Q16528,,,,
KPP078,Ostericum grosseserratum,Q17134247,,,,
KPP032,Juglans regia,Q46871,,,,
KPP054,Ziziphus jujuba,Q11181633,,,,
KPP030,Ailanthus altissima,Q159570,,,,
KPP047,Viola mandshurica,Q5369958,,,,
KPP055,Agastache rugosa,Q1195985,,,,
KPP049,Tamarix chinensis,Q6825364,,,,
KPP089,Stemona japonica,Q15231169,,,,
KPP036,Magnolia obovata,Q2386378,,,,
KPP040,Capsicum annuum,Q1380,,,,
KPP077,Chrysanthemum indicum,Q4157858,,,,
KPP080,Dianthus chinensis,Q159013,,,,
KPP086,Cannabis sativa,Q26726,,,,
KPP039,Adenophora remotiflora,Q5964772,,,,
KPP041,Sambucus williamsii,Q3470725,,,,
KPP074,Artemisia princeps,Q1076280,,,,
KPP083,Citrus reticulata,Q125337,,,,
KPP044,Chelidonium majus subsp. asiaticum,Q49623096,,,,
KPP098,Dalbergia odorifera,Q3012291,,,,
KPP052,Alcea rosea,Q27682,,,,
KPP050,Ginkgo biloba,Q43284,,,,
KPP060,Cirsium arvense,Q341600,,,,
KPP056,Trichosanthes kirilowii,Q847006,,,,
KPP062,Allium cepa,Q23485,,,,
KPP059,Allium sativum,Q23400,,,,
KPP061,Punica granatum,Q13188,,,,
KPP071,Oryza sativa,Q161426,,,,
KPP073,Morus alba,Q157307,,,,
KPP057,Angelica dahurica,Q847098,,,,
KPP069,Nelumbo nucifera,Q16528,,,,
KPP082,Citrus reticulata,Q125337,,,,
KPP090,Tribulus terrestris,Q235889,,,,
KPP058,Cocculus orbiculatus,Q15283564,,,,
KPP066,Zingiber officinale,Q35625,,,,
KPP081,Euonymus alatus,Q160578,,,,
KPP096,Pueraria montana var. lobata,Q15198502,,,,
KPP085,Phragmites australis,Q28557,,,,
KPP087,Fraxinus chinensis subsp. rhynchophylla,Q24877905,,,,
KPP092,Curcuma zedoaria,Q206733,,,,
KPP100,Sophora flavescens,Q31795573,,,,
KPP094,Combretum indicum,Q1062389,,,,
KPP097,Euphorbia kansui,Q15232469,,,,
KPP029,Viscum coloratum,Q15356924,,,,
KPP075,Humulus scandens,Q15540069,,,,
KPP035,Scopolia japonica,Q869524,,,,
KPP076,Pueraria montana var. lobata,Q15198502,,,,
KPP091,Lablab purpureus,Q1077410,,,,
KPP104,Rhaponticum uniflorum,Q24851401,,,,
KPP197,Inula helenium,Q697416,,,,
KPP116,Syzygium aromaticum,Q26736,,,,
KPP130,Linum usitatissimum,Q45108,,,,
KPP138,Myristica fragrans,Q2724976,,,,
KPP142,Broussonetia papyrifera,Q389185,,,,
KPP160,Albizia julibrissin,Q750307,,,,
KPP178,Oldenlandia diffusa,Q13113569,,,,
KPP184,Zea mays,Q11575,,,,
KPP199,Cuscuta chinensis,Q5366185,,,,
KPP113,Prunus humilis,Q3408641,,,,
KPP141,Aster tataricus,Q189368,,,,
KPP145,Gleditsia japonica,Q855963,,,,
KPP173,Benincasa hispida,Q652206,,,,
KPP127,Adenophora triphylla,Q15544951,,,,
KPP170,Piper nigrum,Q43084,,,,
KPP158,Prunella vulgaris,Q158469,,,,
KPP124,Liriope muscari,Q141540,,,,
KPP114,Leonurus japonicus,Q1071905,,,,
KPP112,Dimocarpus longan,Q193449,,,,
KPP131,Orostachys japonica,Q15484095,,,,
KPP151,Bassia scoparia,Q829752,,,,
KPP146,Uncaria sinensis,Q10751885,,,,
KPP108,Veratrum nigrum,Q158898,,,,
