TraitID,TraitName,TOP ID
617,Bark carbon content per bark dry mass,TOP376
618,Bark nitrogen content per bark dry mass,TOP386
619,Bark phosphorus content per bark dry mass,TOP387
450,Branch nitrogen content per branch dry mass,TOP424
863,Branch phosphorus content per branch dry mass,TOP425
864,Branch potassium content per branch dry mass,TOP426
643,Coarse root aluminium content per coarse root dry mass,TOP392
641,Coarse root calcium content per coarse root dry mass,TOP394
456,Coarse root carbon content per coarse root dry mass,TOP395
654,Coarse root copper content per coarse root dry mass,TOP398
644,Coarse root iron content per coarse root dry mass,TOP399
642,Coarse root magnesium content per coarse root dry mass,TOP400
459,Coarse root nitrogen content per coarse root dry mass,TOP405
620,Coarse root phosphorus content per coarse root dry mass,TOP406
646,Coarse root potassium content per coarse root dry mass,TOP407
647,Coarse root sulfur content per coarse root dry mass,TOP409
656,Coarse root zinc content per coarse root dry mass,TOP410
841,Branch coarse woody debris carbon content per branch coarse woody debris dry mass,TOP662
844,Branch coarse woody debris copper content per branch coarse woody debris dry mass,TOP665
849,Branch coarse woody debris iron content per branch coarse woody debris dry mass,TOP666
853,Branch coarse woody debris manganese content per branch coarse woody debris dry mass,TOP668
854,Branch coarse woody debris nitrogen content per branch coarse woody debris dry mass,TOP672
855,Branch coarse woody debris phosphorus content per branch coarse woody debris dry mass,TOP673
859,Branch coarse woody debris sulfur content per branch coarse woody debris dry mass,TOP676
860,Branch coarse woody debris zinc content per branch coarse woody debris dry mass,TOP677
1149,Stem coarse woody debris aluminium content per stem coarse woody debris dry mass,TOP640
1152,Stem coarse woody debris calcium content per stem coarse woody debris dry mass,TOP642
1153,Stem coarse woody debris carbon content per stem coarse woody debris dry mass,TOP643
1159,Stem coarse woody debris iron content per stem coarse woody debris dry mass,TOP647
1162,Stem coarse woody debris magnesium content per stem coarse woody debris dry mass,TOP648
1163,Stem coarse woody debris manganese content per stem coarse woody debris dry mass,TOP649
1165,Stem coarse woody debris nitrogen content per stem coarse woody debris dry mass,TOP653
1170,Stem coarse woody debris potassium content per stem coarse woody debris dry mass,TOP655
1173,Stem coarse woody debris sodium content per stem coarse woody debris dry mass,TOP651
1174,Stem coarse woody debris sulfur content per stem coarse woody debris dry mass,TOP657
1259,Stem coarse woody debris zinc content per stem coarse woody debris dry mass,TOP658
237,Dispersule length trait,TOP90
236,Dispersule width trait,TOP94
475,Fine root nitrogen content per fine root dry mass,TOP558
207,Flower color,TOP242
209,Flower heterostyly type,TOP320
204,Plant generative reproduction type,TOP129
213,Plant dicliny type,TOP295
918,Fruit length,TOP92
249,Leaf aluminium content per leaf dry mass,TOP449
410,Plant leaf area trait,TOP72
109,Leaf area ratio trait,TOP87
252,Leaf calcium content per leaf dry mass,TOP451
674,Cotyledon carbon content per cotyledon dry mass,TOP433
570,Leaf carbon content per leaf area,TOP471
253,Leaf cobalt content per leaf dry mass,TOP454
17,Leaf compoundness,TOP222
255,Leaf copper content per leaf dry mass,TOP455
55,Leaf dry mass trait,TOP39
47,Leaf dry matter content trait,TOP44
163,Leaf fresh mass trait,TOP34
256,Leaf iron content per leaf dry mass,TOP456
144,Leaf length trait,TOP12
940,Leaf lamina length,TOP15
1253,Leaf magnesium content per leaf area,TOP476
257,Leaf magnesium content per leaf dry mass,TOP457
258,Leaf manganese content per leaf dry mass,TOP458
104,Leaf midvein thickness,TOP23
259,Leaf molybdenum content per leaf dry mass,TOP459
261,Leaf nickel content per leaf dry mass,TOP461
667,Cotyledon nitrogen content per cotyledon dry mass,TOP443
779,Petiole thickness,TOP59
778,Petiole dry mass,TOP63
777,Petiole fresh mass,TOP62
143,Petiole length,TOP58
973,Petiole area,TOP60
1011,Specific petiole area,TOP64
51,Leaf phosphorus content per leaf area,TOP482
15,Leaf phosphorus content per leaf dry mass,TOP463
52,Leaf potassium content per leaf area,TOP483
44,Leaf potassium content per leaf dry mass,TOP464
54,Leaf dark respiration rate per leaf area,TOP361
41,Leaf dark respiration rate per leaf dry mass,TOP362
264,Leaf silicon content per leaf dry mass,TOP465
260,Leaf sodium content per leaf dry mass,TOP460
262,Leaf sulfur content per leaf dry mass,TOP466
46,Leaf thickness trait,TOP19
120,Leaf volume trait,TOP29
145,Leaf width trait,TOP16
268,Leaf zinc content per leaf dry mass,TOP467
985,Leaflet length,TOP14
987,Litter aluminium content per litter dry mass,TOP583
991,Litter calcium content per litter dry mass,TOP585
72,Litter carbon content per litter dry mass,TOP586
995,Litter iron content per litter dry mass,TOP590
997,Litter magnesium content per litter dry mass,TOP591
999,Litter molybdenum content per litter dry mass,TOP593
1000,Litter nickel content per litter dry mass,TOP595
70,Litter nitrogen content per litter dry mass,TOP596
71,Litter phosphorus content per litter dry mass,TOP597
1004,Litter sodium content per litter dry mass,TOP594
1007,Litter zinc content per litter dry mass,TOP601
53,Leaf photosynthetic rate per leaf area,TOP357
40,Leaf photosynthetic rate per leaf dry mass,TOP359
110,Leaf mass ratio trait,TOP84
18,Plant height trait,TOP68
343,Plant life form,TOP210
347,Plant apomixis type,TOP120
817,Shoot metamorphosis,TOP148
816,Plant storage organ,TOP166
668,Plant nitrogen content per plant dry mass,TOP520
29,Flower pollination syndrome,TOP333
514,Root respiration rate per root dry mass,TOP366
2957,,
3790,,
829,,
830,,
2958,,
831,,
2959,,
2961,,
2962,,
3791,,
832,,
833,,
2960,,
834,,
835,,
836,,
837,,
2963,,
838,,
24,,
3355,,
3356,,
839,,
4079,,
2964,,
3792,,
3793,,
2632,,
2720,,
2721,,
2568,,
2551,,
2569,,
2623,,
2553,,
2624,,
2799,,
3336,,
3337,,
2677,,
2550,,
2562,,
2563,,
2644,,
2647,,
2771,,
2723,,
2703,,
2700,,
2717,,
2622,,
2572,,
2574,,
2552,,
2575,,
2564,,
2786,,
2798,,
2547,,
2787,,
2756,,
2557,,
2577,,
2585,,
2561,,
2651,,
2578,,
2666,,
2559,,
2545,,
2549,,
2658,,
2659,,
2546,,
3590,,
3589,,
3591,,
3592,,
3617,,
2980,,
3709,,
3712,,
3711,,
3710,,
3713,,
3864,,
2973,,
447,,
2974,,
3386,,
3066,,
3067,,
3065,,
3387,,
3388,,
3404,,
3389,,
448,,
3625,,
3392,,
3844,,
2975,,
3360,,
3499,,
2976,,
2977,,
443,,
451,,
3607,,
3606,,
861,,
862,,
3845,,
442,,
444,,
446,,
453,,
445,,
3659,,
3627,,
2978,,
3390,,
3391,,
3707,,
3703,,
3704,,
3708,,
3863,,
2979,,
3105,,
3104,,
3103,,
3102,,
153,,
