LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr
Cornelissen,Johannes,37,Sheffield Database,Acer campestre,797,Acer campestre,15472,440582,"","",213,Number of replicates,               n,10,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Acer campestre,797,Acer campestre,15472,440583,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),14.38,mg,Single,"","","",14.38,mg,"","",4.01701,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Acer platanoides,854,Acer platanoides,15473,440584,"","",213,Number of replicates,               n,28,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Acer platanoides,854,Acer platanoides,15473,440585,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),59.9,mg,Single,"","","",59.9,mg,"","",1.51123,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Acer pseudoplatanus,855,Acer pseudoplatanus,15474,440586,"","",213,Number of replicates,               n,25,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Acer pseudoplatanus,855,Acer pseudoplatanus,15474,440587,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),44.81,mg,Single,"","","",44.81,mg,"","",1.41037,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Aesculus hippocastanum,1571,Aesculus hippocastanum,15475,440588,"","",213,Number of replicates,               n,30,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Aesculus hippocastanum,1571,Aesculus hippocastanum,15475,440589,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),6729,mg,Single,"","","",6729,mg,"","",3.80818,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Alnus glutinosa,2710,Alnus glutinosa,15476,440590,"","",213,Number of replicates,               n,50,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Alnus glutinosa,2710,Alnus glutinosa,15476,440591,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.847,mg,Single,"","","",0.847,mg,"","",3.30301,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
